"","var_desc","original_varname","clean_var_desc"
"StartDate","Start Date","StartDate","Start Date"
"EndDate","End Date","EndDate","End Date"
"Status","Response Type","Status","Response Type"
"Progress","Progress","Progress","Progress"
"Duration..in.seconds.","Duration (in seconds)","Duration..in.seconds.","Duration (in seconds)"
"Finished","Finished","Finished","Finished"
"RecordedDate","Recorded Date","RecordedDate","Recorded Date"
"ResponseId","Response ID","ResponseId","Response ID"
"DistributionChannel","Distribution Channel","DistributionChannel","Distribution Channel"
"UserLanguage","User Language","UserLanguage","User Language"
"consent","Study Title:  FY2022-58 Personality Assessments for Employment

 Principal Investigator: Dr. Mikki Hebl, 6100 Main St. MS-25 Rice University, Houston, TX 77005, (713) 348-4808, hebl@rice.edu

 Other Investigator(s):  Elisabeth Silver, 6100 Main St. MS-25 Rice University, Houston, TX 77005, Elisabeth.silver@rice.edu

 

 This form gives you information about the study, including the purpose of the research and the risks and benefits of participating.

 

 Study Description. You are being invited to participate in a research study on personality testing being conducted by Dr. Mikki Hebl and Elisabeth Silver from Rice University. Your participation in this study is completely voluntary and you may exit the survey at any time.  Please read the description below before continuing.

 Purpose of this Study. The purpose of the study is to understand whether personality tests might discriminate against individuals in employment settings.

 Procedures. In this online survey, you will respond to measures that ask about your personality attributes. You will also be asked about demographics and whether you self-identify as having certain medical conditions. You may skip any questions that you are uncomfortable answering. The survey should take 20 minutes to complete.

 Participant Requirements. You must be at least 18 years of age and comfortable reading and writing in English.

 Risks. The risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during psychological testing. There is a minimal risk that confidentiality may be breached. Data are collected in an anonymous form and stored on a password-protected cloud to minimize this risk.

 Benefits. There may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.

 Compensation & Costs. You will receive 0.5 hours of subject pool credit for participating in this study. You will still receive credit if you skip questions that make you uncomfortable, but no credit will be granted if you exit the survey before the last page.

 Ending Your Participation. Your participation in this study is entirely voluntary. You are free to refuse to be in the study and your refusal will not influence current of future relationships with Rice University and participating sites.

 Confidentiality. By participating, you understand and agree that the data and information gathered during this study may be used by Rice University and published and/or disclosed by Rice University to others outside of Rice University.

Protected Health Information.

My protected health information that may be used and disclosed includes:

	Demographic information
	Whether you self-identify as having certain medical conditions

My protected health information will be used for:


	Completing the research purpose of studying how health information relates to personality 

The Researchers may use and share my health information with:


	Study personnel

Your health information may be used or shared with other specific people or groups in connection with this research study. Research records will not be able to personally identify you. Your identity or identifying information will be not linked to your private health information.

 Rights. Your participation is voluntary. You are free to stop your participation at any point.  Refusal to participate or withdrawal of your consent or discontinued participation in the study will not result in any penalty or loss of benefits or rights to which you might otherwise be entitled. The Principal Investigator may remove you from the study for a of a number of reasons. In such an event, you will not suffer any penalty or loss of benefits or rights which you might otherwise be entitled.

 Right to Ask Questions & Contact Information. If you have questions regarding the study or a research-related injury, or if you have complaints, concerns, suggestions about the research, desire additional information, or wish to withdraw your participation please contact the Investigators by mail, phone or e-mail using the contact information listed above. 

 For questions about your rights as a research participant, or to discuss problems, concerns or suggestions related to the research, or to obtain information or offer input about the research, you should contact an IRB administrator at Rice University. Email: irb@rice.edu or Telephone: 713-348-3586

 

 By selecting “I consent (proceed to survey)” below, you agree to participate in this research study.","consent","Study Title:  FY2022-58 Personality Assessments for Employment

 Principal Investigator: Dr. Mikki Hebl, 6100 Main St. MS-25 Rice University, Houston, TX 77005, (713) 348-4808, hebl@rice.edu

 Other Investigator(s):  Elisabeth Silver, 6100 Main St. MS-25 Rice University, Houston, TX 77005, Elisabeth.silver@rice.edu

 

 This form gives you information about the study, including the purpose of the research and the risks and benefits of participating.

 

 Study Description. You are being invited to participate in a research study on personality testing being conducted by Dr. Mikki Hebl and Elisabeth Silver from Rice University. Your participation in this study is completely voluntary and you may exit the survey at any time.  Please read the description below before continuing.

 Purpose of this Study. The purpose of the study is to understand whether personality tests might discriminate against individuals in employment settings.

 Procedures. In this online survey, you will respond to measures that ask about your personality attributes. You will also be asked about demographics and whether you self-identify as having certain medical conditions. You may skip any questions that you are uncomfortable answering. The survey should take 20 minutes to complete.

 Participant Requirements. You must be at least 18 years of age and comfortable reading and writing in English.

 Risks. The risks and discomfort associated with participation in this study are no greater than those ordinarily encountered in daily life or during psychological testing. There is a minimal risk that confidentiality may be breached. Data are collected in an anonymous form and stored on a password-protected cloud to minimize this risk.

 Benefits. There may be no personal benefit from your participation in the study but the knowledge received may be of value to humanity.

 Compensation & Costs. You will receive 0.5 hours of subject pool credit for participating in this study. You will still receive credit if you skip questions that make you uncomfortable, but no credit will be granted if you exit the survey before the last page.

 Ending Your Participation. Your participation in this study is entirely voluntary. You are free to refuse to be in the study and your refusal will not influence current of future relationships with Rice University and participating sites.

 Confidentiality. By participating, you understand and agree that the data and information gathered during this study may be used by Rice University and published and/or disclosed by Rice University to others outside of Rice University.

Protected Health Information.

My protected health information that may be used and disclosed includes:

	Demographic information
	Whether you self-identify as having certain medical conditions

My protected health information will be used for:


	Completing the research purpose of studying how health information relates to personality 

The Researchers may use and share my health information with:


	Study personnel

Your health information may be used or shared with other specific people or groups in connection with this research study. Research records will not be able to personally identify you. Your identity or identifying information will be not linked to your private health information.

 Rights. Your participation is voluntary. You are free to stop your participation at any point.  Refusal to participate or withdrawal of your consent or discontinued participation in the study will not result in any penalty or loss of benefits or rights to which you might otherwise be entitled. The Principal Investigator may remove you from the study for a of a number of reasons. In such an event, you will not suffer any penalty or loss of benefits or rights which you might otherwise be entitled.

 Right to Ask Questions & Contact Information. If you have questions regarding the study or a research-related injury, or if you have complaints, concerns, suggestions about the research, desire additional information, or wish to withdraw your participation please contact the Investigators by mail, phone or e-mail using the contact information listed above. 

 For questions about your rights as a research participant, or to discuss problems, concerns or suggestions related to the research, or to obtain information or offer input about the research, you should contact an IRB administrator at Rice University. Email: irb@rice.edu or Telephone: 713-348-3586

 

 By selecting “I consent (proceed to survey)” below, you agree to participate in this research study."
"N1_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Worry about things.","N1_1","Worry about things."
"N1_2","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Fear for the worst.","N1_2","Fear for the worst."
"N1_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Am afraid of many things.","N1_3","Am afraid of many things."
"N1_4","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Get stressed out easily.","N1_4","Get stressed out easily."
"N2_1","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Get angry easily.","N2_1","Get angry easily."
"N2_2","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Get irritated easily.","N2_2","Get irritated easily."
"N2_3","The following page contains phrases describing people's behaviors. Please use the rating scale next to each phrase to describe how accurately each statement describes you. 
 

Describe yourself as you generally are now, not as you wish to be in the future. Describe yourself as you honestly see yourself, in relation to other people you know of the same sex as you are, and roughly your same age. 
 

So that you can describe yourself in an honest manner, your responses will be kept in absolute confidence. Please read each statement carefully, and then click the circle that corresponds to the accuracy of the statement. - Lose my temper.","N2_3","Lose my temper."
